TEAM,PAYROLL,YEAR
LAD,272789040,2015
NYY,219282196,2015
BOS,187407202,2015
DET,173813750,2015
SF,172672111,2015
WAS,164920505,2015
LAA,150933083,2015
TEX,142140873,2015
PHI,135827500,2015
TOR,122506600,2015
STL,120869458,2015
SEA,119798060,2015
CHC,119006885,2015
CIN,117197072,2015
CHW,115238678,2015
KC,113618650,2015
BAL,110146097,2015
MIN,108945000,2015
MIL,105002536,2015
COL,102006130,2015
NYM,101409244,2015
SD,100675896,2015
ATL,97578565,2015
ARZ,91518833,2015
PIT,88278500,2015
CLE,86091175,2015
OAK,86086667,2015
TB,76061707,2015
HOU,70910100,2015
MIA,68479000,2015
LAD,253639162,2016
NYY,227854349,2016
BOS,199864178,2016
DET,199525500,2016
SF,171464943,2016
CHC,167444167,2016
LAA,166831190,2016
TEX,161246720,2016
STL,149186000,2016
BAL,147943713,2016
WAS,146686385,2016
SEA,144996858,2016
TOR,140582027,2016
KC,137606125,2016
NYM,130612115,2016
CHW,115998667,2016
COL,113242571,2016
MIN,104591200,2016
PHI,103346668,2016
SD,100547000,2016
PIT,99960499,2016
ARZ,98657436,2016
CLE,98006899,2016
HOU,96643000,2016
CIN,93171452,2016
OAK,85823390,2016
ATL,84821541,2016
MIA,70464500,2016
TB,64120323,2016
MIL,62964319,2016
LAD,242065828,2017
NYY,201539699,2017
BOS,199805178,2017
DET,199750600,2017
TOR,177795368,2017
TEX,175909063,2017
SF,172354611,2017
CHC,172189880,2017
WAS,167846918,2017
BAL,163676616,2017
LAA,160375333,2017
NYM,155187460,2017
SEA,154800918,2017
STL,152452933,2017
KC,140925250,2017
COL,130963571,2017
CLE,124861165,2017
HOU,124343900,2017
ATL,112437541,2017
MIA,111881100,2017
PHI,111378000,2017
MIN,108077500,2017
PIT,100575946,2017
CHW,99119770,2017
CIN,93768785,2017
ARZ,93257600,2017
OAK,81738333,2017
SD,71624400,2017
TB,69962532,2017
MIL,63061300,2017
BOS,235650000,2018
SF,208510000,2018
LOD,186140000,2018
CHC,183460000,2018
WAS,181590000,2018
LAA,175100000,2018
NYY,168540000,2018
SEA,162480000,2018
TOR,162316000,2018
STL,161010000,2018
HOU,160040000,2018
NYM,154610000,2018
TEX,144000000,2018
BAL,143090000,2018
COL,141340000,2018
CLE,134350000,2018
ARZ,132500000,2018
MIN,131910000,2018
DET,129920000,2018
KC,129920000,2018
ATL,120540000,2018
CIN,101190000,2018
MIA,98640000,2018
PHI,96850000,2018
SD,96130000,2018
MIL,90240000,2018
PIT,87880000,2018
TB,78730000,2018
CHW,72180000,2018
OAK,68530000,2018
BOS,213188334,2019
CHC,208199143,2019
NYY,206407750,2019
WAS,181400409,2019
HOU,177443329,2019
PHI,172374782,2019
LAA,167456465,2019
NYM,161865003,2019
LAD,152863333,2019
STL,150367083,2019
COL,149335166,2019
SF,138030231,2019
SEA,135802314,2019
MIL,130389362,2019
CIN,128815238,2019
MIN,113590267,2019
ATL,110530000,2019
ARZ,107584167,2019
CLE,107345783,2019
TEX,102462762,2019
OAK,96825833,2019
CHW,96697001,2019
DET,96243400,2019
SD,94429433,2019
KS,83079283,2019
TB,68976867,2019
BAL,67371100,2019
TOR,66626457,2019
PIT,65918500,2019
MIA,62911262,2019
